File;Huffman Encoding Calculation;Encoding;Counting Characters;File size before;File size after;Distinct characters
kennedy.xls;82460;38570033;1094570;1029744;462917;256
kennedy.xls;83933;32796930;1268791;1029744;462917;256
kennedy.xls;83316;36447021;1094130;1029744;462917;256
kennedy.xls;82892;31366630;1097691;1029744;462917;256
kennedy.xls;139510;36393049;1930432;1029744;462917;256
kennedy.xls;82746;31136097;1094928;1029744;462917;256
kennedy.xls;89473;29543048;1097942;1029744;462917;256
kennedy.xls;82420;29463735;1096011;1029744;462917;256
kennedy.xls;82493;33121774;1094847;1029744;462917;256
kennedy.xls;82430;29763995;1095705;1029744;462917;256
kennedy.xls;82918;30464087;1094240;1029744;462917;256
kennedy.xls;82945;36055999;1094067;1029744;462917;256
lcet10.txt;36640;18525574;569344;426754;250684;84
lcet10.txt;27744;24216431;422034;426754;250684;84
lcet10.txt;30083;18533873;422350;426754;250684;84
lcet10.txt;46234;22097000;507220;426754;250684;84
lcet10.txt;28190;24417989;421232;426754;250684;84
lcet10.txt;28230;21903496;486912;426754;250684;84
lcet10.txt;28407;23145308;422552;426754;250684;84
lcet10.txt;27632;18822265;422222;426754;250684;84
lcet10.txt;28242;18861101;422725;426754;250684;84
lcet10.txt;27435;19970641;423276;426754;250684;84
lcet10.txt;39010;23179772;423384;426754;250684;84
lcet10.txt;31107;22367706;487134;426754;250684;84
lcet10.txt;30389;25441731;469434;426754;250684;84
lcet10.txt;34608;31033250;624800;426754;250684;84
lcet10.txt;48983;24007604;623755;426754;250684;84
lcet10.txt;44681;27369065;1184324;426754;250684;84
lcet10.txt;46923;28988678;685884;426754;250684;84
lcet10.txt;30695;26537945;491120;426754;250684;84
lcet10.txt;30703;25837587;460400;426754;250684;84
lcet10.txt;50272;25751686;515837;426754;250684;84
plrabn12.txt;48233;30253151;837880;481861;275701;81
plrabn12.txt;32147;30725117;614839;481861;275701;81
plrabn12.txt;29377;34913798;588336;481861;275701;81
plrabn12.txt;50351;41561939;2091737;481861;275701;81
plrabn12.txt;50269;29256336;591052;481861;275701;81
plrabn12.txt;29424;26308178;576497;481861;275701;81
plrabn12.txt;29677;23642588;494081;481861;275701;81
plrabn12.txt;35747;23467978;496770;481861;275701;81
plrabn12.txt;30238;27945470;494925;481861;275701;81
plrabn12.txt;27037;27777268;488791;481861;275701;81
plrabn12.txt;29395;28395638;495811;481861;275701;81
plrabn12.txt;27893;29285532;457495;481861;275701;81
plrabn12.txt;29582;25069612;505845;481861;275701;81
plrabn12.txt;29399;23149604;499032;481861;275701;81
plrabn12.txt;29340;24470727;492687;481861;275701;81
plrabn12.txt;27150;22913350;456748;481861;275701;81
plrabn12.txt;27511;21327756;502760;481861;275701;81
plrabn12.txt;26983;24826461;457370;481861;275701;81
plrabn12.txt;27065;24910576;457417;481861;275701;81
plrabn12.txt;27004;24680840;457393;481861;275701;81
ptt5;56855;9503446;1638713;513216;106774;159
ptt5;53345;9228215;1093292;513216;106774;159
ptt5;57952;11489023;1116256;513216;106774;159
ptt5;57396;9862549;1141763;513216;106774;159
ptt5;51850;9601038;1030320;513216;106774;159
ptt5;52135;8595665;1137043;513216;106774;159
ptt5;52203;8458948;1190325;513216;106774;159
ptt5;56235;9062850;1112875;513216;106774;159
ptt5;52857;9054203;1033356;513216;106774;159
ptt5;124345;12825700;1194489;513216;106774;159
ptt5;53132;7816313;1139755;513216;106774;159
ptt5;92445;11566140;1413437;513216;106774;159
ptt5;106414;7711776;1131351;513216;106774;159
ptt5;51993;8017660;1029574;513216;106774;159
ptt5;54097;10227415;1065000;513216;106774;159
ptt5;56430;8043934;1083665;513216;106774;159
ptt5;52641;8088827;1030067;513216;106774;159
ptt5;89122;9918816;1368456;513216;106774;159
ptt5;92161;9733896;1290178;513216;106774;159
ptt5;57438;9029955;1206740;513216;106774;159
random.txt;41950;7734523;276167;100000;75275;64
random.txt;22921;8033572;129719;100000;75275;64
random.txt;20240;8207408;92974;100000;75275;64
random.txt;29459;8232826;299567;100000;75275;64
random.txt;21498;8797899;100313;100000;75275;64
random.txt;20108;7062072;93057;100000;75275;64
random.txt;20281;8007273;93049;100000;75275;64
random.txt;37002;10305428;163028;100000;75275;64
random.txt;20100;7432184;92850;100000;75275;64
random.txt;20012;7458240;92927;100000;75275;64
random.txt;20005;6966825;104931;100000;75275;64
random.txt;20017;7270357;172544;100000;75275;64
random.txt;141192;8128204;92773;100000;75275;64
random.txt;21446;8029328;100373;100000;75275;64
random.txt;31045;7961287;92633;100000;75275;64
random.txt;16303;9515540;92495;100000;75275;64
random.txt;16238;7177698;93242;100000;75275;64
random.txt;16402;7712913;92598;100000;75275;64
random.txt;18059;8097741;100333;100000;75275;64
random.txt;28870;8196520;118349;100000;75275;64
sum;103676;2137148;65614;38240;25999;255
sum;219383;2233739;90123;38240;25999;255
sum;119361;1965347;51804;38240;25999;255
sum;76580;1975253;48016;38240;25999;255
sum;91382;1738951;65765;38240;25999;255
sum;122860;1993627;280225;38240;25999;255
sum;82124;2450282;51792;38240;25999;255
sum;185107;1930728;84745;38240;25999;255
sum;84216;1805024;67783;38240;25999;255
sum;83567;1890386;52004;38240;25999;255
sum;130178;3241642;70567;38240;25999;255
sum;164203;2600662;68919;38240;25999;255
sum;129356;2380762;51617;38240;25999;255
sum;83832;1967943;81076;38240;25999;255
sum;83352;1958967;70249;38240;25999;255
sum;83581;1892673;61297;38240;25999;255
sum;83187;1767485;62061;38240;25999;255
sum;82011;2017626;52115;38240;25999;255
sum;82852;2313248;51912;38240;25999;255
sum;76638;2196637;49218;38240;25999;255
world192.txt;27485;135445650;2434772;2473400;1558729;94
world192.txt;41804;152615695;3566933;2473400;1558729;94
world192.txt;29345;135831596;2633639;2473400;1558729;94
world192.txt;29851;136370295;2758977;2473400;1558729;94
world192.txt;27503;135721982;3234084;2473400;1558729;94
world192.txt;31645;140539190;2801398;2473400;1558729;94
world192.txt;27720;144897384;2590701;2473400;1558729;94
world192.txt;39643;163817374;2828598;2473400;1558729;94
world192.txt;29713;133862145;3068771;2473400;1558729;94
world192.txt;32185;140746948;2534748;2473400;1558729;94
world192.txt;27551;118216892;3097338;2473400;1558729;94
world192.txt;27432;156141163;2943155;2473400;1558729;94
world192.txt;36351;130438812;2610427;2473400;1558729;94
world192.txt;30406;126124250;6084064;2473400;1558729;94
world192.txt;29208;117503781;2579592;2473400;1558729;94
world192.txt;27350;119180145;2961225;2473400;1558729;94
world192.txt;27814;132504634;3151990;2473400;1558729;94
world192.txt;27840;123464925;2741519;2473400;1558729;94
world192.txt;29769;122694404;2785894;2473400;1558729;94
world192.txt;27621;119928658;2691274;2473400;1558729;94
xargs.1;28237;274758;8318;4227;2707;74
xargs.1;22369;206449;6487;4227;2707;74
xargs.1;27454;208505;8677;4227;2707;74
xargs.1;35819;396885;9637;4227;2707;74
xargs.1;30277;303942;8582;4227;2707;74
xargs.1;19846;194427;6015;4227;2707;74
xargs.1;19665;193785;6060;4227;2707;74
xargs.1;36292;254470;9800;4227;2707;74
xargs.1;37607;329605;9236;4227;2707;74
xargs.1;21884;214489;6511;4227;2707;74
xargs.1;31705;213087;9261;4227;2707;74
xargs.1;21891;213160;6539;4227;2707;74
xargs.1;19735;193167;6261;4227;2707;74
xargs.1;20017;193384;6104;4227;2707;74
xargs.1;22226;220365;6609;4227;2707;74
xargs.1;19999;195560;15073;4227;2707;74
xargs.1;22517;210712;6334;4227;2707;74
xargs.1;22035;206422;6673;4227;2707;74
xargs.1;22415;212475;23604;4227;2707;74
xargs.1;22164;211661;6175;4227;2707;74
